0.51 0.82 0.67 0.66 0.69 0.7 0.75 0.7 0.74 0.59 10.44 10.75 11.9 10.7 11.76 10.15 11.11 10.21 9.31 9.91 7.9 11.06 12.17 9.83 10.04 10.04 12.77 8.55 8.67 8.6 9.15 8.48 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.71 0.51 0.66 0.82 0.57 0.58 0.55 0.52 0.65 0.63 9.06 8.88 9.07 10.43 9.94 9.06 10.18 10.46 9.19 13.1 8.95 9.55 9.11 8.25 11.13 11.13 8.52 7.97 7.99 8.84 8.25 7.83 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.66 0.68 0.45 0.63 0.58 0.52 0.71 0.49 0.63 0.54 9.83 10.47 9.17 11.05 8.38 8.29 10.38 9.05 10.47 9.68 9.3 9.3 10.66 8.71 8.86 8.86 8.38 8.89 8.55 8.36 7.84 7.29 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.56 0.55 0.78 0.42 0.51 0.65 0.56 0.58 0.52 0.59 10.45 11.05 11.71 9.95 10.67 10.71 9.07 11.39 134.49 12.85 8.45 10.24 9.93 9.76 9.42 9.42 8.31 7.25 11.14 8.11 8.58 7.47 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.76 0.63 0.59 0.52 0.42 0.53 0.62 0.49 0.63 0.51 10.81 8.81 11.06 9.7 9.09 8.92 9.65 10.73 10.17 10.46 9.37 9.21 10.99 11.11 10.72 10.72 12.39 9.22 7.52 9.41 9.56 7.9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.56 0.62 0.62 0.56 0.52 0.46 0.55 0.72 0.51 0.63 9.69 9.59 10.76 9.91 9.45 9.39 10.01 9.56 8.97 10.68 9.39 9.62 9.39 9.56 10.2 10.2 8.5 7.79 8.39 8.77 7.77 7.93 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.63 0.65 0.53 0.65 0.55 0.61 0.44 0.56 0.53 0.57 9.51 10.14 8.3 11.11 8.06 8.05 12.21 9.41 11.14 10.72 8.36 8.77 8.35 10.36 8.6 8.6 9.71 8.38 9.09 8.31 8.53 10.38 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.59 0.53 0.58 0.57 0.61 0.53 0.62 0.45 0.51 0.64 10.75 9.51 10.58 10.32 11.37 10.27 8.84 10.27 9.75 10.1 9.51 10.1 10.54 23.87 10.01 10.01 6.89 8.44 7.56 8.65 9.48 9.04 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.56 0.62 0.57 0.52 0.61 0.6 0.59 0.67 0.46 0.55 9.15 10.29 10.32 9.5 9.34 9.79 8.96 9.09 10.11 11.36 8.41 11.7 8.84 10.72 90.26 90.26 7.35 8.4 9.38 8.21 7.33 7.81 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.58 0.54 0.57 0.61 0.52 0.51 0.65 0.51 0.6 0.43 10.19 10.02 15.49 8.39 8.83 9.56 7.66 14.92 10.73 9.53 10.79 9.67 8.98 10.55 10.21 10.21 7.42 8.45 7.52 9.09 9.2 10.52 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
30.17 17.13 15.23 12.39 8.66 11.68 18.08 22.23 9.69 15.46 4.03 1.73 0.86 1.01 0.93 1.18 1.24 1.17 1.09 1.16 1.06 1.02 1.22 0.88 0.87 0.62 0.77 1.06 0.82 0.81 0.49 0.73 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14.51 11.51 8.84 14.62 11.88 10.18 8.6 10.62 10.7 11.54 1.12 1.04 2.6 1.02 1.16 1.11 0.97 1.16 1.08 0.57 1.19 1.14 1.25 1.18 0.93 0.89 0.71 0.77 0.65 0.77 0.83 0.77 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
13.12 1013.13 11.71 7.74 9.04 10.74 8.61 10.57 10.37 9.39 1.39 2.71 0.78 1.06 1.21 1.15 2.6 0.96 1.17 0.57 1.05 1.36 0.89 1.58 0.97 0.75 0.65 0.84 0.59 0.72 0.79 0.54 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
9.78 9.5 10.01 10.73 8.54 8.19 8.83 11.27 18.78 9.99 1.23 1.25 0.91 0.81 1.12 1.13 1.22 1.2 1.05 0.92 1.25 1.16 0.75 1.17 1.33 0.98 0.69 0.59 0.66 0.47 0.71 0.56 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
10.03 14.31 9.55 9.3 10.53 8.43 6.69 9.27 10.25 9.43 1.11 0.89 1.07 1.2 1.02 2.37 0.92 1.21 1.04 0.92 1.06 1.32 0.65 1.05 0.91 1.06 0.71 0.61 0.47 0.6 0.59 0.57 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
13.53 10.96 10.05 10.31 8.86 15.41 8.69 8.59 7.89 8.14 1.59 1.18 0.96 1.09 1.22 0.23 1.02 1.23 0.75 1.1 1.19 1.03 0.82 0.69 0.88 0.63 0.64 0.91 0.62 0.53 0.5 0.57 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
13.14 1012.74 10.46 10.77 10.57 9.23 8.5 11.47 8.47 8.47 1.3 0.94 1.23 0.98 0.98 1.15 0.24 1.15 1.25 1.2 1.1 1 0.9 0.82 0.91 0.85 0.74 0.88 0.68 0.49 0.64 0.69 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
15.27 10.55 10.56 10.38 11.88 8.26 9.08 9.67 10.36 8.68 1.08 1.8 0.52 0.54 1.2 0.83 0.98 0.31 0.86 1.02 0.97 1.76 0.79 0.93 0.94 1.29 0.81 0.49 0.67 0.75 0.65 0.55 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
15.19 14.27 9.75 10.58 9.36 10.31 9.1 10.19 9.61 8.82 1.01 1.32 0.95 1.26 0.83 1.19 0.97 0.93 0.23 1.02 1.1 1.14 1 2.35 0.93 1.1 0.6 0.8 0.78 0.88 0.82 0.54 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
10.74 10.58 7.3 11.95 10.21 10.41 9.04 10.51 10.22 8.87 2.16 1.08 1.25 1.04 1.32 1.08 1.22 1.24 0.97 0.22 1.13 0.94 1.15 0.81 1.16 1.28 0.76 0.7 0.49 0.82 0.67 0.8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
13.9 110.3 10.62 9.69 11.26 9.28 11.21 8.26 10.07 8.47 1.15 1.07 1.18 0.88 1.16 1.02 1.2 1.13 1.25 1.2 0.27 1.06 0.92 1.54 0.78 0.8 0.81 0.64 0.76 0.89 0.77 0.61 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
16.25 10.11 9.53 10.17 9.75 10.82 8.79 10.71 8.41 8.72 1.13 0.85 1.11 1.24 1.11 1 1.01 1.26 1.03 1.31 1.11 0.27 0.85 1.17 0.62 1.46 0.86 0.77 0.76 0.68 0.79 0.77 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
18.72 9.35 10.94 10.59 10.1 10.53 8.58 8.21 10.16 8.77 1.15 1.75 1.25 1.08 1.19 0.8 1.08 1.16 0.78 1.17 1.07 0.9 0.29 0.87 0.91 1.71 0.73 0.68 0.95 0.89 0.77 0.8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
17.84 11.04 9.42 9.55 9 10.36 9.93 11.35 9.92 11 3.14 1.27 0.93 1.2 0.87 0.63 1.1 1.27 1.19 1.05 1.26 1.06 0.97 0.27 0.89 0.86 0.66 0.77 1.01 0.72 0.76 0.72 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
19.3 9.53 10.11 11.08 10.26 8.57 10.65 10.33 10.54 10.11 2.21 0.48 1.26 1.32 1.16 1.49 1.16 1.27 1.07 0.67 1.15 0.77 0.89 1.57 0.23 0.98 0.66 0.83 0.77 0.71 0.71 0.8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
15.98 9.1 11.28 9.85 9.05 10.44 88.74 10.72 10.96 11.3 1.26 1.03 1.03 1.03 1.19 0.72 1.21 1.02 1.51 0.72 1.16 0.94 0.91 0.78 0.67 0.22 0.81 0.72 0.72 0.76 0.73 0.71 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
8.49 14.07 118.65 8.14 13.52 13.47 7.65 9.21 8.59 13.93 0.73 0.68 0.53 0.58 0.8 0.5 0.65 0.59 0.59 0.26 0.6 0.67 0.64 0.76 0.75 0.59 0.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
9.91 8.96 8.85 17.32 6.64 6.78 8.59 20.08 9.29 7.61 0.62 0.73 0.73 0.68 0.66 0.88 0.61 0.65 0.84 0.94 0.6 0.59 0.68 0.65 0.54 0.66 1 0.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
9.13 8.85 7.85 8.71 7.62 10.07 7.97 9.33 15.53 8.37 0.86 0.74 0.72 0.68 0.57 0.55 0.59 0.6 0.68 1.25 0.58 0.56 0.57 0.57 0.37 0.59 1 1 0.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
17.2 9.68 9.02 10.22 8.39 7.48 8.86 7.58 16.3 8.16 0.87 0.62 0.61 0.88 0.6 0.53 0.49 0.74 0.59 0.65 0.63 0.55 0.56 0.59 0.52 0.73 1 1 1 0.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
