hostname,thread_count,memory,resillience,performance,parallelization,consumption,country_code,cloud_type,instance_type,ts,stage,frequency
8225cdfa-15f7-4a9c-a8f8-a3f044c7f694,2,6.8,62,342,"{1,0.9589648798521258}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-20 21:00:01.600835,prod,2999
382e8bbf-64de-4be3-8184-62ff3531bc3b,2,6.8,75,349,"{1,0.9469555472543894}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-20 21:29:27.636164,prod,2999
94030667-07c1-4300-b13b-b477f0c7812c,2,6.8,75,335,"{1,0.9437706725468578}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-21 09:19:28.791995,prod,3000
bb270351-735a-4083-b077-643384c5875e,2,6.8,70,269,"{1,0.959016393442623}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-21 14:09:16.917918,prod,3000
fdebdcf7-7b1b-491e-a7f4-02f725966284,2,6.8,63,317,"{1,0.9525316455696202}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-21 19:13:15.162332,prod,3000
3f1b3cd0-6e19-435a-84e7-60820f237e4b,2,6.8,60,339,"{1,0.9643119941133187}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-21 19:39:45.568128,prod,3000
c1d63658-d2b9-406b-84d1-d97c3d365f77,2,6.8,64,309,"{1,0.9816876122082585}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-21 20:05:04.262188,prod,3000
29cf1532-1a5d-4577-9abe-569d8f3c8102,2,6.8,63,213,"{1,0.8601173020527858}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-21 20:31:47.635797,prod,3000
6da3dd73-db88-4cfa-8dea-df65bdcca5cf,2,6.8,60,344,"{1,0.9455555555555556}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-23 12:33:09.426819,prod,2999
11d8ea1a-1c5b-4764-98ae-c6d66c8ca258,2,6.8,75,332,"{1,0.9595613433858807}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,edge,vagrant,2021-04-23 12:57:14.728974,prod,2999
